지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
22101,2017-01-01,3.6,1027.6,80,8.4,7.8,.6,.4,.6,1,4.5,5.8
22101,2017-01-02,5.3,1023,85,8.1,7.8,.8,.5,.8,1.6,4.2,5.3
22101,2017-01-03,3.9,1024.5,65,6.5,7.8,.9,.5,.8,1.2,4.7,5.8
22101,2017-01-04,5.3,1024.6,70,7.4,7.8,.9,.5,.8,1.4,4.3,5.8
22101,2017-01-05,6.6,1026.7,60,7.2,7.7,.8,.5,.7,1.2,3.4,4.3
22101,2017-01-06,3.7,1026.7,75,7.8,7.7,.5,.3,.5,.9,3.7,5.8
22101,2017-01-07,3,1021.6,79,7.4,7.7,.3,.2,.2,.5,5.1,8
22101,2017-01-08,6,1015.1,77,7.6,7.7,.7,.4,1,1.5,3.1,4.6
22101,2017-01-09,7.8,1018.7,64,4,7.6,2.1,1.3,1.9,2.7,5.7,8
22101,2017-01-10,7.8,1024.9,59,.9,7.5,1.8,1.1,1.5,2.7,5,7.1
22101,2017-01-11,5,1025.8,52,1.8,7.3,1.3,.8,1.4,2.4,5.5,7.1
22101,2017-01-12,6.9,1019.3,56,2.3,7.1,1.9,1.1,1.6,2.8,5.5,7.1
22101,2017-01-13,6.8,1018.4,65,-1.1,6.9,1.5,.9,1.9,3.8,5.1,7.1
22101,2017-01-14,10.9,1026.9,54,-3.5,6.5,2.6,1.6,2,3.3,5.6,7.1
22101,2017-01-15,6.8,1029.1,52,-1.5,6.2,1.4,.9,1.4,2.2,4.7,5.3
22101,2017-01-16,3.4,1029.9,46,.1,5.9,.8,.5,.9,1.6,4.6,5.3
22101,2017-01-17,1.2,1031.7,56,2.7,5.8,.3,.2,.2,.4,4.1,4.9
22101,2017-01-18,3.1,1030.8,67,4.1,5.9,.5,.3,.7,1,4.1,5.8
22101,2017-01-19,2.9,1024.5,63,1.8,5.8,.6,.3,.6,.9,4.6,7.1
22101,2017-01-20,9.1,1023.3,77,-.9,5.8,2.5,1.5,2.4,4.2,5.7,7.1
22101,2017-01-21,6.1,1026.5,65,.7,5.7,1.8,1.1,1.8,3.3,5.9,7.1
22101,2017-01-22,9.6,1028.8,64,-3.3,5.5,2.8,1.7,2.2,4.1,5.9,8
22101,2017-01-23,8,1032.2,63,-3.7,5.2,2,1.3,1.6,2.8,5.1,6.4
22101,2017-01-24,5.7,1035,60,-1.7,5,1.3,.8,1,1.6,4.4,5.8
22101,2017-01-25,2,1035,52,-.3,4.8,.6,.3,.8,1.4,4.1,4.6
22101,2017-01-26,7.1,1026.5,77,4,4.7,1,,2,2.8,4.1,6.4
22101,2017-01-27,8,1028.4,53,.1,4.6,2.2,1.4,2.4,3.8,6.3,8
